2017-12-22 10:43:56 | Price: p:1644/b:1644/a:1645/l:1694 | Buy: 1656/1705 |  1Hr: delta: -115 1623/1687/1760 tx: 2666 | 10Min: delta: -14 1643/1655/1667 |  tx: 514 lat:   63 ms| bidding (0) | balance:101428  
2017-12-22 10:43:58 | Price: p:1646/b:1644/a:1646/l:1694 | Buy: 1656/1705 |  1Hr: delta: -114 1623/1687/1760 tx: 2672 | 10Min: delta: -13 1643/1655/1667 |  tx: 520 lat:  143 ms| bidding (0) | balance:101428  
2017-12-22 10:44:00 | Price: p:1650/b:1645/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -113 1623/1687/1760 tx: 2676 | 10Min: delta: -12 1643/1654/1667 |  tx: 524 lat:   67 ms| bidding (0) | balance:101428  
2017-12-22 10:44:03 | Price: p:1647/b:1645/a:1647/l:1694 | Buy: 1656/1705 |  1Hr: delta: -113 1623/1687/1760 tx: 2677 | 10Min: delta: -12 1643/1654/1667 |  tx: 525 lat:  138 ms| bidding (0) | balance:101428  
2017-12-22 10:44:05 | Price: p:1650/b:1647/a:1650/l:1694 | Buy: 1656/1705 |  1Hr: delta: -110 1623/1687/1760 tx: 2685 | 10Min: delta:  -9 1643/1654/1667 |  tx: 533 lat:  140 ms| bidding (0) | balance:101428  
2017-12-22 10:44:07 | Price: p:1656/b:1650/a:1656/l:1694 | Buy: 1656/1705 |  1Hr: delta: -104 1623/1687/1760 tx: 2686 | 10Min: delta:  -3 1643/1654/1667 |  tx: 534 lat:  136 ms| bidding (0) | balance:101428  
2017-12-22 10:44:15 | Price: p:1650/b:1650/a:1656/l:1694 | Buy: 1656/1705 |  1Hr: delta: -109 1623/1687/1760 tx: 2689 | 10Min: delta: -10 1643/1654/1667 |  tx: 535 lat:  136 ms| bidding (0) | balance:101428  
2017-12-22 10:44:17 | Price: p:1651/b:1651/a:1656/l:1694 | Buy: 1656/1705 |  1Hr: delta: -101 1623/1687/1760 tx: 2691 | 10Min: delta:   2 1643/1654/1667 |  tx: 536 lat:  164 ms| bidding (0) | balance:101428  
2017-12-22 10:44:19 | Price: p:1659/b:1656/a:1659/l:1694 | Buy: 1656/1705 |  1Hr: delta: -101 1623/1687/1760 tx: 2691 | 10Min: delta:   2 1643/1654/1667 |  tx: 535 lat:  128 ms| bidding (0) | balance:101428  
2017-12-22 10:44:20 | Price: p:1659/b:1656/a:1659/l:1694 | Buy: 1656/1705 |  1Hr: delta: -101 1623/1687/1760 tx: 2692 | 10Min: delta:   2 1643/1654/1667 |  tx: 536 lat:  129 ms| bidding (0) | balance:101428  
